structure,type,seas_adj,date,value
mining,nom,csa,1996-10-01,133.69672161888
mining,nom,csa,1997-01-01,142.54858625006
mining,nom,csa,1997-04-01,147.256994280504
mining,nom,csa,1997-07-01,151.800298896414
mining,nom,csa,1997-10-01,157.725588395413
mining,nom,csa,1998-01-01,160.467758244036
mining,nom,csa,1998-04-01,154.529284992114
mining,nom,csa,1998-07-01,155.837089237257
mining,nom,csa,1998-10-01,150.431010924582
mining,nom,csa,1999-01-01,148.530339139028
mining,nom,csa,1999-04-01,147.132642624149
mining,nom,csa,1999-07-01,148.240123860945
mining,nom,csa,1999-10-01,144.498688978181
mining,nom,csa,2000-01-01,146.700749666965
mining,nom,csa,2000-04-01,143.217817705681
mining,nom,csa,2000-07-01,140.997410526911
mining,nom,csa,2000-10-01,144.42737789161
mining,nom,csa,2001-01-01,148.762989246415
mining,nom,csa,2001-04-01,147.452940613378
mining,nom,csa,2001-07-01,147.747179383268
mining,nom,csa,2001-10-01,151.714325229264
mining,nom,csa,2002-01-01,153.140139806923
mining,nom,csa,2002-04-01,149.774077798157
mining,nom,csa,2002-07-01,146.445986691879
mining,nom,csa,2002-10-01,143.607091288603
mining,nom,csa,2003-01-01,141.357953267051
mining,nom,csa,2003-04-01,140.851454314584
mining,nom,csa,2003-07-01,138.099316186919
mining,nom,csa,2003-10-01,140.782848864548
mining,nom,csa,2004-01-01,145.343661465361
mining,nom,csa,2004-04-01,147.201110639051
mining,nom,csa,2004-07-01,148.418902317848
mining,nom,csa,2004-10-01,146.708147809165
mining,nom,csa,2005-01-01,152.78775867104
mining,nom,csa,2005-04-01,160.574213207688
mining,nom,csa,2005-07-01,155.195773607986
mining,nom,csa,2005-10-01,154.877764194362
mining,nom,csa,2006-01-01,149.994130543417
mining,nom,csa,2006-04-01,153.380343675804
mining,nom,csa,2006-07-01,152.637107304818
mining,nom,csa,2006-10-01,158.723816404973
mining,nom,csa,2007-01-01,161.894570021655
mining,nom,csa,2007-04-01,155.721031979797
mining,nom,csa,2007-07-01,153.550823400642
mining,nom,csa,2007-10-01,157.277108541381
mining,nom,csa,2008-01-01,156.804654627119
mining,nom,csa,2008-04-01,152.201706039766
mining,nom,csa,2008-07-01,149.28861201347
mining,nom,csa,2008-10-01,154.425189928697
mining,nom,csa,2009-01-01,158.530650914294
mining,nom,csa,2009-04-01,164.803426005606
mining,nom,csa,2009-07-01,165.952313343564
mining,nom,csa,2009-10-01,168.835916401606
mining,nom,csa,2010-01-01,173.442756255358
mining,nom,csa,2010-04-01,179.140173690602
mining,nom,csa,2010-07-01,181.212690467889
mining,nom,csa,2010-10-01,175.864761389335
mining,nom,csa,2011-01-01,181.659184334558
mining,nom,csa,2011-04-01,172.180821516013
mining,nom,csa,2011-07-01,171.912448708718
mining,nom,csa,2011-10-01,170.141025778998
mining,nom,csa,2012-01-01,165.084468142369
mining,nom,csa,2012-04-01,173.289054448938
mining,nom,csa,2012-07-01,176.88291023203
mining,nom,csa,2012-10-01,175.396378226181
mining,nom,csa,2013-01-01,175.300637092573
mining,nom,csa,2013-04-01,179.446596214245
mining,nom,csa,2013-07-01,179.998729966333
